locatie-id	locatie	id	longitude	latitude
knooppunt Antwerpen-Haven + complex Stab-1045	knooppunt Antwerpen-Haven + complex Stab	1045	4.347974	51.316982
E313 Spitsstrook kmpt. 4,495-2376	E313 Spitsstrook kmpt. 4,495	2376	4.512903172	51.21181685
R0 kmpt 23,7 dubbele seinbrug-1066	R0 kmpt 23,7 dubbele seinbrug	1066	4.473964	50.815264
E313 Spitsstrook kmpt. 8,375-2397	E313 Spitsstrook kmpt. 8,375	2397	4.55336629	51.20782813
R0 kmpt 23,7 dubbele seinbrug-1065	R0 kmpt 23,7 dubbele seinbrug	1065	4.473919	50.815276
E313 Spitsstrook kmpt. 8,375-2396	E313 Spitsstrook kmpt. 8,375	2396	4.553219932	51.2074028
R0 kmpt 23,7 dubbele seinbrug-1064	R0 kmpt 23,7 dubbele seinbrug	1064	4.474059	50.815245
E313 Spitsstrook kmpt. 8,375-2395	E313 Spitsstrook kmpt. 8,375	2395	4.557140823	51.20655037
R0 kmpt 23,7 dubbele seinbrug-1063	R0 kmpt 23,7 dubbele seinbrug	1063	4.474108	50.815231
E313 Spitsstrook kmpt. 8,375-2394	E313 Spitsstrook kmpt. 8,375	2394	4.5571179	51.20652157
complex Tervuren - 4-armen (1) (noordzij-1062	complex Tervuren - 4-armen (1) (noordzij	1062	4.479386	50.826501
E313 Spitsstrook kmpt. 8,375-2393	E313 Spitsstrook kmpt. 8,375	2393	4.557095096	51.20648903
complex Tervuren - 4-armen (1) (noordzij-1061	complex Tervuren - 4-armen (1) (noordzij	1061	4.479281	50.826521
E313 Spitsstrook kmpt. 8,375-2392	E313 Spitsstrook kmpt. 8,375	2392	4.557070896	51.20645949
complex Tervuren - 4-armen (1) (noordzij-1060	complex Tervuren - 4-armen (1) (noordzij	1060	4.479328	50.826515
E313 Spitsstrook kmpt. 8,375-2391	E313 Spitsstrook kmpt. 8,375	2391	4.557047404	51.20642913
E313 Spitsstrook kmpt. 7,410-2390	E313 Spitsstrook kmpt. 7,410	2390	4.544705252	51.20946958
complex Tervuren - 4-armen (1) (noordzij-1059	complex Tervuren - 4-armen (1) (noordzij	1059	4.478789	50.825464
complex Tervuren - 4-armen (1) (noordzij-1058	complex Tervuren - 4-armen (1) (noordzij	1058	4.478745	50.825463
E313 Spitsstrook kmpt. 7,410-2389	E313 Spitsstrook kmpt. 7,410	2389	4.546065031	51.20950197
complex Tervuren - 4-armen (1) (noordzij-1057	complex Tervuren - 4-armen (1) (noordzij	1057	4.479004	50.825997
E313 Spitsstrook kmpt. 7,410-2388	E313 Spitsstrook kmpt. 7,410	2388	4.546049973	51.2094775
complex Tervuren - 4-armen (1) (noordzij-1056	complex Tervuren - 4-armen (1) (noordzij	1056	4.478953	50.826001
E313 Spitsstrook kmpt. 7,410-2387	E313 Spitsstrook kmpt. 7,410	2387	4.546028874	51.20944264
complex Jezus-Eik (2)-1077	complex Jezus-Eik (2)	1077	4.48483188	50.79132695
complex Jezus-Eik (2)-1076	complex Jezus-Eik (2)	1076	4.48481583	50.79128876
complex Jezus-Eik (2)-1075	complex Jezus-Eik (2)	1075	4.479484986	50.79347804
complex Jezus-Eik (2)-1074	complex Jezus-Eik (2)	1074	4.47942534	50.79344425
complex Jezus-Eik (2)-1073	complex Jezus-Eik (2)	1073	4.47723	50.7956434
complex Jezus-Eik (2)-1072	complex Jezus-Eik (2)	1072	4.47726859	50.79534198
complex Jezus-Eik (2)-1071	complex Jezus-Eik (2)	1071	4.47730943	50.79536667
complex Jezus-Eik (2)-1070	complex Jezus-Eik (2)	1070	4.47734848	50.79538798
complex Tervuren - 4-armen (1) (zuidzijd-1069	complex Tervuren - 4-armen (1) (zuidzijd	1069	4.473806	50.815337
complex Tervuren - 4-armen (1) (zuidzijd-1068	complex Tervuren - 4-armen (1) (zuidzijd	1068	4.474215	50.815255
